Compound Id	WeightedPath [WTPT-3]
13837650	4.621
29015	5.875
258	2.362
7714	2.362
7882	2.413
7837	2.408
7812	2.401
932	2.411
6040	2.388
1004	2.311
10445	0.0
6320	2.313
6312	2.329
6146	2.25
21011	2.348
3644	2.244
29000	2.372
175	2.244
6102	2.207
236	0.0
7224	2.452
7673	2.491
6321	2.313
29012	5.216
5730	9.0
7676	2.491
5977	6.732
7787	0.0
7679	2.491
14840	0.0
8569	2.927
121365	5.423
6104	4.414
3168	2.707
12181	5.483
7890	0.0
682	2.207
8525	5.081
7219	0.0
9614	2.491
8560	0.0
7767	0.0
864	2.0
6335	4.9
14672	2.591
7674	0.0
7641	0.0
11752	5.081
11815	5.070
13014	5.646
6334	4.9
28994	4.871
12814	5.590
7849	0.0
349	0.0
6967	0.0
7712	0.0
7636	8.273
7521	0.0
29080	8.152
7737	2.875
1108	0.0
13619	0.0
