Compound Id	ChiPath [VP-2]
502855	2.610
6191	0.996
26325183	5.629
5709	1.541
6153	0.429
16425	2.624
8521	28.947
23150	13.593
76894	N/A
2041618	N/A
8520	23.829
66656	N/A
26824	24.354
18019	30.523
11434292	N/A
26325084	52.708
6190	1.470
11919	8.743
10696	20.472
26325083	47.590
10451	25.590
23101	18.711
122090	18.172
26325082	42.472
26325081	37.354
512621	N/A
10449	30.708
26325080	32.236
66655	12.678
10652594	N/A
14021447	27.118
67991	14.560
109705	3.292
17619	N/A
9256	0.842
692	0.0
291	0.0
6084	0.0
6094	0.707
7555	1.0
6120	1.732
7712	1.354
6308	1.802
9646	3.0
10781	3.675
15802	3.036
17976	4.493
7767	1.707
7604	2.183
7010	1.922
6163	2.914
6340	2.488
8560	2.061
11094	2.536
11023	2.302
11055	3.311
10786	2.630
7619	3.023
10755	2.871
11551	2.091
349	2.414
11035	2.656
11104	3.365
10795	3.347
10445	4.159
7849	2.768
17558	3.243
13439	5.298
13402	2.914
14840	3.121
13448	5.621
13619	3.475
7890	3.828
11882	4.182
11883	4.536
10540	5.243
7929	6.657
11897	7.010
11899	7.364
12017	7.718
12072	8.071
11900	8.425
11901	8.778
11146	9.132
11902	9.485
10542	10.899
11906	12.314
8878	3.122
11585	2.114
11557190	22.0
10452	15.354
10784857	N/A
108106	23.088
127983	0.0
78828	16.882
68328	11.764
67414	17.316
13837650	1.134
13853215	1.945
9392	2.231
10765	1.480
7674	2.743
14998	7.059
10614293	4.159
61149	1.847
6156	9.0
12201	1.918
11109	1.431
24142	4.613
13622	4.259
16180	3.906
7891	3.552
12446	1.707
29025	2.492
12635	3.199
11121	1.784
7713	1.077
12809	2.845
7833	2.138
7556	0.697
7954	0.408
555074	1.711
7957	1.207
4516601	2.065
56442	0.667
4483639	0.977
4516599	2.049
4512361	2.065
4483638	0.977
4449912	0.667
4512642	2.049
18410	3.646
22408	0.0
66675	22.5
10113	1.366
9484	0.781
23208	0.0
6085	0.0
7024	2.390
15438	2.939
8896	1.768
14751	2.912
221117	3.239
7787	2.121
8908	2.475
8909	2.828
8910	3.536
71433	7.710
22814	0.0
9095782	1.777
6151	1.571
14299946	18.966
6188	2.705
11099	0.813
73583	3.091
7340	3.902
8158	1.620
11110	1.155
9642	0.25
12577	0.749
11996	2.545
10756390	18.851
62827	1.195
7626	2.234
10265264	3.365
13835550	0.577
56117	5.643
11230	1.396
63631	2.057
11086	2.296
21106179	0.247
11841	3.325
6402	4.490
1406720	7.101
2056044	1.887
1114	1.342
14692	2.569
10179173	3.365
21800	3.239
8544	1.402
7788	1.756
4927801	28.860
9088156	19.305
29040	1.646
10325078	3.066
55188	2.317
7624	2.476
68224	18.315
24263	4.525
6364	4.454
11749	1.849
14672	2.316
11228	1.284
11864	2.015
12209	1.308
11857	2.109
391428	4.525
10733068	23.430
454638	6.994
12456	2.722
17880	2.368
11845	1.661
11806	0.954
9990	0.5
6309	1.050
7557	0.471
558883	0.761
56020	0.761
10124	1.561
6111	1.061
10265270	4.089
14198	4.504
7794	3.446
7180	3.451
9286	0.669
9411	1.218
14441700	1.522
6148	1.445
6149	2.571
15765	3.239
553642	2.463
15413	4.752
7182	3.409
10669	3.464
66567	2.068
6132	0.577
8569	2.319
12220	3.027
7823	1.612
11849	1.550
10441	0.577
3168	0.781
