Compound Id	CarbonTypes [C3SP3]
26325084	0
26325083	0
18019	0
8521	0
26325082	0
10449	0
61149	0
2056044	0
26325081	0
26824	0
8520	0
10451	0
2041618	0
6191	0
26325080	0
76894	0
16425	0
6153	0
10784857	0
38403	0
14021447	0
9256	0
23101	0
10675065	0
10652594	0
10696	0
62827	0
11434292	0
21106179	0
122090	0
11557190	0
9095782	0
12577	0
9286	0
61346	0
6190	0
6270	0
9484	0
6105	0
16841	0
4927801	0
109705	3
9088156	0
56144	0
23150	0
108106	0
78828	0
6128	0
10452	0
10606755	0
3631	0
69569	0
15413	0
66656	0
9411	0
454209	0
10733068	0
17619	0
13837650	0
13853215	0
9392	0
66567	1
18971812	0
66655	0
68328	0
13299573	0
56117	0
12161	0
107412	0
67414	0
13803	0
14441700	0
10756390	0
68224	0
61213	0
9254	0
9016	0
73583	0
14998	0
2018165	0
6148	0
69914	0
11671339	0
29040	0
67991	0
454215	0
62826	0
7626	0
59573	0
6156	0
10106	0
10801109	0
512621	0
12933	0
11996	1
13835836	0
9633	0
15789876	0
18688	0
12586	0
71433	0
68503	0
937	0
692	0
23208	0
291	0
274	0
6084	0
6132	0
7956	0
6094	0
11749	1
7555	0
6120	1
7712	0
6308	1
9646	0
10781	1
15802	1
17976	1
7767	0
7604	1
7010	1
6163	0
6340	2
7671	1
9377	0
8560	0
11094	1
11023	1
11055	0
10786	2
7619	2
10755	0
11551	1
349	0
11035	1
11104	2
10795	3
10445	1
8569	0
11841	2
7073	2
123860	0
7849	0
17558	1
13439	0
13402	0
6287	0
10227261	0
14840	0
13448	0
12220	0
13619	0
7890	0
11882	0
11883	0
10540	0
7929	0
11897	0
11899	0
12017	0
12072	0
11900	0
11901	0
11146	0
11902	0
10542	0
11906	0
7823	0
13835376	0
55130	0
6188	0
127750	0
14299946	0
30713	0
14694	0
99596	0
11849	0
7757	0
21106169	0
20545	1
10441	0
14672	1
7511	0
10446	1
7657	1
22453	1
6151	0
7509	0
7872	0
10433	1
55084	0
7875	0
2062437	0
7065	1
11992	0
7913	0
10325078	0
92731	0
14256731	0
3168	0
11153	0
29005	0
7472	0
11207996	1
7694	0
11833	0
16388	0
455420	0
62249	0
10420	0
9243	0
55188	1
7482	0
11716	0
29016	1
7670	2
7340	0
7747	1
7624	0
7627	0
8568	0
14846	0
11045	0
11228	0
10709	0
109838	0
7478	0
10765	1
13849665	0
7800	0
11148	0
11843	0
923	0
7475	0
12201	1
7515	0
29012	0
10797	2
11109	0
7538	0
7536	0
12972	0
61266	2
24142	0
14829	0
23055	0
13622	0
7463	0
10571	1
16180	0
13836549	0
7891	0
12446	0
55123	0
10614293	1
29025	0
11755	0
12635	0
7706	0
7761	1
11121	0
7713	0
12809	0
11230	0
7833	0
10492	1
13837190	0
13839109	0
7556	0
12012	0
8158	0
66675	0
7871	0
3441	0
7954	0
9976	0
21153	0
14688	0
9391	0
8525	0
7514	0
11680	0
6176	0
6085	0
63631	0
13865630	0
7856	0
11706	0
7802	0
12218	0
56232	0
3973	0
6130	0
7534	1
10788	1
7621	1
10101	0
28986	0
13839575	0
12632	0
13836589	0
83734	0
9253	0
215929	0
10791	1
555074	0
7957	0
11125	0
7760	0
4516601	0
8562	0
2863	0
56442	0
4483639	0
11919	0
10653	0
8329688	0
7782	0
4516599	0
16387	0
10777	1
4512361	0
11095	0
11025	0
26325086	0
21106173	0
13835706	0
441	0
2282428	0
9251	0
13850879	1
217	0
1114	0
7838	0
15486	0
56559	1
11898	0
4483638	0
6335	0
4449912	0
11526	0
6311	1
10054	1
7081	1
7607	0
7074	1
12456	0
72522	0
6313	1
7817	0
4512642	0
7928	0
7734	0
5949	0
62632	0
14348	0
7803	0
7076	0
78998	0
17880	0
370	0
29029	0
11884	0
2581	0
16177	0
7730	0
13866746	0
7016	0
15853	0
11864	0
9053802	1
21106586	1
67360	0
63863	0
11891	0
7732	0
